Country,Birth Rate,Business Tax Rate,log10_CO2 Emissions,Days to Start Business,Ease of Business,log10_Energy Usage,log10_GDP,Health Exp % GDP,log10_Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,log10_Population Total,Population Urban,log10_Tourism Inbound,log10_Tourism Outbound,ISO Code,cluster_label
"Congo, Democratic Republic of the",0.04493333333333334,33.724973838327536,3.3105791104387987,57.59432694810007,168.50406372803144,4.284415640273512,10.220362571319328,0.06196,1.0478410929019282,316.41992811453457,0.09846666666666666,0.0,0.42336804525016203,49.986666666666665,46.84,0.14666666666666667,7.764231984103374,0.38755999999999996,6.801900397575815,8.069793830420945,COD,1
Costa Rica,0.016653333333333336,54.3332691489761,3.9859506876666524,67.13603955303888,135.27101574489672,3.68781710353724,10.446511904760566,0.08925333333333334,2.7457697973798205,316.24853325743936,0.009119999999999998,0.3146666666666667,0.19410666666666668,81.26666666666665,76.65333333333334,0.5026666666666667,6.652575772168917,0.6877333333333333,9.30587169075168,8.7387908074054,CRI,3
Croatia,0.009640000000000001,23.894264085081605,4.41219235133914,19.01526027219958,115.06565416449443,3.9487266419821507,10.710503149658287,0.07173333333333334,2.924815690153616,224.88805203402032,0.0052,0.4346666666666667,0.10474666666666668,79.4,72.72,0.9773333333333334,6.642971050266827,0.5701066666666667,9.9122090683333,8.956256903779995,HRV,0
Cuba,0.010693333333333332,42.08357061013016,4.451277330794669,41.00074635644316,71.50748085950538,4.042987990214702,10.724465306398459,0.09177333333333335,2.6409142430265558,250.9658870611224,0.005333333333333334,0.13866666666666666,0.12865760102872764,80.32,76.32,0.045333333333333344,7.052158276211222,0.7635333333333333,9.361331464873096,9.279012301179636,CUB,3
Curaçao,0.014157115651816852,35.68280254475946,2.965239175089437,23.389791726287577,81.30478512248435,3.5199003941167146,9.584801784133182,0.06870917003528074,3.45911952725254,130.89225062573166,0.0028818432642054703,0.5475477686365756,0.14357072345375185,80.21407127827655,73.40905039725666,1.008782615177872,5.155076526600291,0.9021066666666666,8.558274331264164,8.372033015012294,CUW,2
Cyprus,0.01208,25.75283150277421,3.8884857636441956,22.74918009610681,71.30539465148877,3.3842401066470065,10.297911626632393,0.06837333333333334,3.227301456012776,173.33632783090755,0.0036,0.43733333333333335,0.0711674454833207,81.16,76.92,0.8266666666666668,6.028161313880399,0.6789866666666667,9.42204300457787,9.108572341993183,CYP,0
Czechia,0.010360000000000003,46.908682330572084,5.052021861527423,24.831557760925687,117.03348910835606,4.643642870438174,11.208547941679866,0.07161333333333333,3.047077256652343,421.12767452501686,0.0038666666666666667,0.5359999999999999,0.059133333333333336,80.02666666666667,73.82666666666667,1.1733333333333333,7.015291511190169,0.7342533333333333,9.828580968872764,9.53779569571437,CZE,3
Côte d'Ivoire,0.036706666666666665,41.4415798675329,3.7148045917897936,42.37148950553613,159.63025653456168,3.971250363074248,10.29168282187578,0.06346666666666667,1.8293460558387846,255.74769534786427,0.08284,0.0,0.37931211543149806,49.37333333333333,47.733333333333334,0.5093333333333334,7.260925276401375,0.48792,8.142647231231955,8.595256389017466,CIV,1
Denmark,0.011440000000000002,30.193439073628777,4.69054617816398,6.632909584134365,53.63324152014691,4.27538613599243,11.453238612657076,0.10408,3.7302888885649375,137.1252332255913,0.0036933333333333336,0.848,0.06826148607356974,80.8,76.48,1.1333333333333333,6.739396744597783,0.8636666666666667,9.75554279261054,9.917306911387781,DNK,0
Djibouti,0.028693333333333335,38.099046392760584,2.7267493317427594,36.17971707451284,166.0682369591079,2.467070064459856,8.971341456907961,0.07754666666666665,1.920750938034268,103.99602041848101,0.06650666666666667,0.03466666666666667,0.11690635526600318,60.733333333333334,57.8,0.12533333333333335,5.906392270350562,0.7689333333333335,7.057351463092463,7.24766028018493,DJI,1
Dominica,0.015775976357929895,37.162170882174955,2.166581235788356,14.27684328520174,107.75677814121947,1.7530508326860361,8.628673337113135,0.05313333333333333,2.4987098063124074,129.32154076533047,0.01176,0.4093333333333334,0.09574666666666666,79.52581920327552,73.99376797320579,1.1146666666666667,4.850386840429118,0.6738266666666668,7.887577332966542,7.046058003412061,DMA,2
Dominican Republic,0.02274666666666667,37.08647468183314,4.489613387459087,37.66085236213126,132.1378339286833,3.9469553840772846,10.607594148658569,0.05447999999999999,2.3509079049851476,310.2895620306161,0.027346666666666665,0.22933333333333336,0.19670666666666667,75.41333333333334,69.25333333333333,0.644,6.985973208141969,0.7066266666666667,9.590967964150536,8.70697415297709,DOM,3
Ecuador,0.022573333333333334,36.40112432306102,4.510044297481556,57.86872797485078,141.00703535074425,4.074379783615915,10.730361810552987,0.06502666666666666,2.3881195138885385,406.3322266146248,0.02253333333333334,0.18133333333333335,0.10365402081439117,78.13333333333334,72.32,0.7200000000000001,7.158058763889209,0.6221200000000001,8.812465157495593,8.868411756525271,ECU,3
Egypt,0.024040000000000002,44.20969832787475,5.197851759929622,15.069615361345358,137.13462534885122,4.781353196167204,11.176398488791579,0.050853333333333334,1.9854373754328587,445.77830981925035,0.023013333333333337,0.22000000000000003,0.12279999999999998,72.37333333333332,67.71999999999998,0.5786666666666667,7.875016878160792,0.4300933333333333,9.952094712119061,9.374852006935154,EGY,3
El Salvador,0.020919999999999998,34.687524085633555,3.8590720921449475,22.691199333864176,117.1573596435247,3.656566030419645,10.291386855504875,0.06865333333333333,2.338462005382527,314.21374596027334,0.017786666666666666,0.10666666666666669,0.12291240973392445,75.94666666666667,66.58666666666667,0.8946666666666666,6.789020313761662,0.6301733333333334,8.83549124471598,8.464228727425395,SLV,3
Equatorial Guinea,0.03730666666666667,42.354924515450925,3.4903741357695477,48.77292182426332,161.64628809591218,3.2610374697223747,9.930587980149614,0.034039999999999994,2.6465857094009033,462.3670363796944,0.08106666666666666,0.03466666666666667,0.15643273365469088,51.72000000000001,49.11999999999999,0.35866666666666663,5.812684134064122,0.39072,8.227014402051822,8.167758908640005,GNQ,1
Eritrea,0.03898666666666666,43.205698641097676,2.8701534969490456,49.83636553973239,170.59845623238837,2.942258784552018,9.195346559074245,0.031013333333333334,0.9630336064851029,227.85635995594802,0.04341333333333333,0.004300819693880058,0.2627861631491101,62.36,57.559999999999995,0.03017144581424623,6.722724803011621,0.1981066666666667,7.850835013100598,7.843549409855437,ERI,1
Estonia,0.011173333333333332,47.330303931910095,4.06434589521764,21.369055699078558,94.40467723725864,3.7249805290607654,10.232248160197996,0.05632,2.8476103144149305,114.65303825407757,0.00472,0.656,0.06690666666666667,79.38666666666667,68.73333333333333,1.2013333333333334,6.128192504270857,0.6840399999999999,9.124002420056694,8.830735506755758,EST,0
Eswatini,0.031173333333333327,35.674433125136325,3.021695938286311,57.97868541827639,132.06360910878882,2.735855449969539,9.47293905140462,0.07434666666666669,2.2681771345165394,114.64157744411348,0.07058666666666666,0.07866666666666668,0.11439999999999999,47.22666666666667,47.58666666666667,0.4093333333333333,6.061871123362108,0.21776,7.704329012144121,7.795331523841224,SWZ,1
Ethiopia,0.03686666666666667,32.8936505059358,3.776334820019044,22.03608761545077,149.54687191720663,4.416651183850956,10.313997371883941,0.04361333333333333,1.0313023493914915,222.97160122512983,0.06028000000000001,0.0,0.11658736658800015,60.480000000000004,58.02666666666666,0.05866666666666667,7.911726547507382,0.16573333333333334,8.955424970652723,8.055344371694163,ETH,1
Faroe Islands,0.012568545801660079,51.15780852901176,2.810002595181925,20.379576799734895,84.30495865301415,1.9349611306740415,9.2483507491713,0.05960458164582113,3.178470978208827,171.87988445723877,0.005492163369943917,0.7493333333333332,0.09178327702983306,83.21333333333334,78.09333333333332,1.0333333333333334,4.69211655878698,0.4019866666666667,8.063067650689558,7.231662246989474,FRO,2
Fiji,0.022426666666666668,39.521110843448334,3.20141344997876,46.99075575577855,131.9870601573088,3.0410352396115568,9.493134423316178,0.038066666666666665,2.1439086923057387,149.17880455313167,0.020013333333333334,0.16533333333333336,0.07640000000000001,71.92,66.16000000000001,0.5746666666666668,5.926210221552794,0.5089466666666668,8.862049409923683,8.044213491943319,FJI,2
Finland,0.011,44.26158818897719,4.758858854172458,15.552035781185308,79.25959228093062,4.546363577846893,11.342484551782764,0.08559999999999998,3.5513670882175767,217.48647343268667,0.0027733333333333334,0.7906666666666669,0.05518949160149687,82.94666666666667,76.36,1.3013333333333332,6.725081983377404,0.8324400000000001,9.599595489286122,9.657082778404318,FIN,0
